FILE_NAME,VERTEX_NUM,EDGES_NUM,INSERTS,UPDATES,DELETES,R_AVG,DURATION,RESIDENT_MEM
./graphs/rand_graphs/26028_0.0761924.gr,16,26028,51614781,26028,163500,26028,0.123554,0.488468,434264
./graphs/rand_graphs/7558_0.0165576.gr,16,7558,946236,7558,25736,7558,0.211316,0.0285098,15732
./graphs/rand_graphs/31323_0.0626958.gr,16,31323,61515425,31323,196031,31323,0.11993,0.575627,516264
./graphs/rand_graphs/10547_0.0448186.gr,16,10547,4986577,10547,50315,10547,0.168593,0.0725643,50224
./graphs/rand_graphs/12419_0.0924971.gr,16,12419,14263415,12419,70864,12419,0.150361,0.15213,167764
./graphs/rand_graphs/29629_0.0423221.gr,16,29629,37136308,29629,173129,29629,0.147485,0.387017,420004
./graphs/rand_graphs/19627_0.01004.gr,16,19627,3866301,19627,75879,19627,0.19724,0.0920788,47088
./graphs/rand_graphs/24546_0.0907703.gr,16,24546,54690745,24546,155826,24546,0.115441,0.500002,535668
./graphs/rand_graphs/7356_0.0965595.gr,16,7356,5226070,7356,38249,7356,0.150024,0.0633094,64104
./graphs/rand_graphs/30850_0.0710726.gr,16,30850,67632273,30850,194832,30850,0.113774,0.621381,663840
./graphs/rand_graphs/26557_0.0464565.gr,16,26557,32768351,26557,154829,26557,0.149363,0.346077,372700
./graphs/rand_graphs/27804_0.0804091.gr,16,27804,62157381,27804,175661,27804,0.113918,0.574751,607824
./graphs/rand_graphs/18622_0.0240747.gr,16,18622,8348945,18622,87593,18622,0.171355,0.125351,82892
./graphs/rand_graphs/9029_0.0622772.gr,16,9029,5077433,9029,44495,9029,0.161897,0.0679231,77584
./graphs/rand_graphs/16919_0.0495725.gr,16,16919,14188980,16919,90505,16919,0.152697,0.16578,143460
./graphs/rand_graphs/8430_0.0385687.gr,16,8430,2743151,8430,36720,8430,0.178226,0.0471841,39564
./graphs/rand_graphs/23344_0.0650674.gr,16,23344,35458571,23344,141458,23344,0.144109,0.350886,378432
./graphs/rand_graphs/9384_0.0626563.gr,16,9384,5523085,9384,46851,9384,0.159684,0.0726998,81372
./graphs/rand_graphs/22653_0.0252868.gr,16,22653,12978805,22653,112189,22653,0.162927,0.18202,189884
./graphs/rand_graphs/24854_0.0588026.gr,16,24854,36333035,24854,150417,24854,0.146101,0.363913,393520
./graphs/rand_graphs/15732_0.0257451.gr,16,15732,6372320,15732,71854,15732,0.174444,0.100296,70184
./graphs/rand_graphs/21607_0.0801562.gr,16,21607,37425096,21607,133328,21607,0.137087,0.360081,355308
./graphs/rand_graphs/21844_0.0569305.gr,16,21844,27164567,21844,127098,21844,0.151544,0.28359,309028
./graphs/rand_graphs/5547_0.0357877.gr,16,5547,1101972,5547,21660,5547,0.19206,0.0244129,16024
./graphs/rand_graphs/8778_0.0304369.gr,16,8778,2346010,8778,36485,8778,0.186585,0.0445761,36340
./graphs/rand_graphs/16314_0.0712818.gr,16,16314,18965709,16314,93835,16314,0.150704,0.201127,221204
./graphs/rand_graphs/28446_0.0406477.gr,16,28446,32889482,28446,162909,28446,0.149056,0.352671,381568
./graphs/rand_graphs/14617_0.0919626.gr,16,14617,19650004,14617,85896,14617,0.148487,0.199129,218756
./graphs/rand_graphs/27489_0.0556911.gr,16,27489,42083891,27489,166534,27489,0.141231,0.419455,446724
./graphs/rand_graphs/28960_0.0619205.gr,16,28960,51921993,28960,178921,28960,0.129084,0.502687,474824
